City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bukachacha,RU,2022-05-11 02:37:26,52.9833,116.9167,38.79,34,100,9.98
68,Lebu,CL,2022-05-11 02:37:26,-37.6167,-73.65,51.55,77,100,7.38
69,Hermanus,ZA,2022-05-11 02:37:27,-34.4187,19.2345,59.81,81,92,14.65
70,Muros,ES,2022-05-11 02:37:27,42.7762,-9.0603,50.09,90,44,2.95
71,Daru,PG,2022-05-11 02:37:28,-9.0763,143.2092,88.88,66,75,3.2
72,Ono,JP,2022-05-11 02:37:28,34.85,134.9333,67.48,70,100,3.56
73,Kodiak,US,2022-05-11 02:37:29,57.79,-152.4072,47.71,34,0,18.41
74,Charlestown,AU,2022-05-11 02:35:15,-32.95,151.6667,69.73,79,100,3.0
75,Souillac,MU,2022-05-11 02:37:29,-20.5167,57.5167,71.98,94,20,4.61
76,Vestmannaeyjar,IS,2022-05-11 02:37:30,63.4427,-20.2734,40.19,86,100,15.17
77,Arlit,NE,2022-05-11 02:37:30,18.7369,7.3853,83.41,18,16,4.59
78,Bintulu,MY,2022-05-11 02:37:31,3.1667,113.0333,86.41,79,40,2.3
79,Avarua,CK,2022-05-11 02:37:31,-21.2078,-159.775,80.65,83,75,3.44
80,Ishigaki,JP,2022-05-11 02:37:32,24.3448,124.1572,78.93,94,75,8.05
81,Beyneu,KZ,2022-05-11 02:37:32,45.3167,55.2,55.85,70,2,4.27
82,Salym,RU,2022-05-11 02:37:32,60.0625,71.4789,58.73,48,100,8.48
83,Naliya,IN,2022-05-11 02:37:33,23.2667,68.8333,85.87,60,49,15.99
84,Ola,RU,2022-05-11 02:37:33,59.5833,151.2833,37.15,92,100,8.37
85,Cherskiy,RU,2022-05-11 02:37:34,68.75,161.3,27.79,80,100,5.3
86,Along,IN,2022-05-11 02:37:35,28.1667,94.7667,69.94,99,100,0.47
87,Port Hardy,CA,2022-05-11 02:37:35,50.6996,-127.4199,48.38,81,100,6.91
88,Price,US,2022-05-11 02:37:36,39.5994,-110.8107,61.86,14,0,4.61
89,Narsaq,GL,2022-05-11 02:37:36,60.9167,-46.05,43.02,91,99,4.59
90,Bukama,CD,2022-05-11 02:37:37,-9.2,25.85,65.08,75,17,3.24
91,Esperance,AU,2022-05-11 02:37:37,-33.8667,121.9,73.24,32,90,13.94
92,Babushkin,RU,2022-05-11 02:37:38,51.7122,105.8647,38.8,55,98,12.5
93,Fairbanks,US,2022-05-11 02:37:38,64.8378,-147.7164,44.22,75,100,14.97
94,Sioux Lookout,CA,2022-05-11 02:38:39,50.1001,-91.917,55.47,44,20,3.44
95,Calabozo,VE,2022-05-11 02:38:39,8.9242,-67.4293,80.58,64,32,0.49
96,Sakakah,SA,2022-05-11 02:38:40,29.9697,40.2064,65.77,29,0,6.17
97,Barrow,US,2022-05-11 02:38:40,71.2906,-156.7887,24.82,74,100,11.5
98,Saint-Philippe,RE,2022-05-11 02:38:41,-21.3585,55.7679,72.99,78,5,4.23
99,Mossendjo,CG,2022-05-11 02:38:41,-2.9506,12.7261,71.69,100,100,1.66
100,Hamilton,US,2022-05-11 02:38:42,39.1834,-84.5333,76.23,77,20,6.91
101,Busselton,AU,2022-05-11 02:38:43,-33.65,115.3333,68.11,57,100,7.81
102,Coquimbo,CL,2022-05-11 02:38:43,-29.9533,-71.3436,55.13,100,100,3.44
103,North Battleford,CA,2022-05-11 02:38:44,52.7834,-108.2847,51.89,40,100,9.22
104,Kangaatsiaq,GL,2022-05-11 02:38:44,68.3065,-53.4641,13.17,96,34,6.13
105,Pevek,RU,2022-05-11 02:38:44,69.7008,170.3133,30.45,76,30,9.69
106,Mar Del Plata,AR,2022-05-11 02:38:45,-38.0023,-57.5575,54.88,77,40,11.99
107,Springdale,US,2022-05-11 02:36:45,36.1867,-94.1288,80.71,82,0,6.91
108,Tasiilaq,GL,2022-05-11 02:38:45,65.6145,-37.6368,24.96,89,100,11.81
109,Bertoua,CM,2022-05-11 02:38:46,4.5833,13.6833,68.04,99,95,2.71
110,Marck,FR,2022-05-11 02:38:46,50.949,1.9433,54.03,88,79,13.13
111,Hambantota,LK,2022-05-11 02:38:47,6.1241,81.1185,82.74,94,20,11.5
112,Vilcun,CL,2022-05-11 02:38:47,-38.65,-72.2333,41.74,83,100,0.67
113,Wakkanai,JP,2022-05-11 02:38:48,45.4094,141.6739,67.98,24,0,21.85
114,Jamestown,US,2022-05-11 02:38:48,42.097,-79.2353,58.05,47,88,1.99
115,Barra Do Garcas,BR,2022-05-11 02:38:48,-15.89,-52.2567,72.07,56,87,1.79
116,Kapaa,US,2022-05-11 02:38:49,22.0752,-159.319,82.38,73,75,14.97
117,Tessalit,ML,2022-05-11 02:38:50,20.1986,1.0114,80.02,8,0,11.92
118,Blackwater,AU,2022-05-11 02:36:19,-23.5833,148.8833,69.22,91,100,15.12
119,Pilar,BR,2022-05-11 02:35:45,-9.5972,-35.9567,75.13,94,29,2.75
120,Chapais,CA,2022-05-11 02:38:50,49.7834,-74.8492,56.98,41,2,13.0
121,Cap Malheureux,MU,2022-05-11 02:38:51,-19.9842,57.6142,75.47,80,40,1.01
122,Mugur-Aksy,RU,2022-05-11 02:38:51,50.35,90.5,32.97,37,0,4.94
123,Ngunguru,NZ,2022-05-11 02:38:52,-35.6167,174.5,59.0,61,0,13.27
124,Solnechnyy,RU,2022-05-11 02:38:52,50.7214,136.6319,71.15,26,47,10.65
125,Ostrovnoy,RU,2022-05-11 02:38:53,68.0531,39.5131,39.02,84,69,16.64
126,Srandakan,ID,2022-05-11 02:38:53,-7.9386,110.2506,85.8,72,35,4.03
127,Salta,AR,2022-05-11 02:38:54,-24.7859,-65.4117,55.58,81,40,4.61
128,Fort Nelson,CA,2022-05-11 02:38:56,58.8053,-122.7002,49.59,43,75,8.05
129,Carnarvon,AU,2022-05-11 02:38:56,-24.8667,113.6333,77.07,53,99,9.22
130,Ribeira Grande,PT,2022-05-11 02:38:57,38.5167,-28.7,60.01,77,100,20.83
131,Yulara,AU,2022-05-11 02:38:57,-25.2406,130.9889,66.04,32,98,9.22
132,Port Macquarie,AU,2022-05-11 02:37:03,-31.4333,152.9167,66.88,67,100,10.8
133,Placido De Castro,BR,2022-05-11 02:38:58,-10.3353,-67.1856,75.02,93,100,0.51
134,Nanortalik,GL,2022-05-11 02:38:58,60.1432,-45.2371,34.61,92,95,7.45
135,Marzuq,YE,2022-05-11 02:38:59,14.4,46.4667,73.56,28,4,3.96
136,Qinnan,CN,2022-05-11 02:38:59,33.2531,119.9133,67.87,67,100,10.16
137,Altay,CN,2022-05-11 02:40:00,47.8667,88.1167,60.58,21,1,1.48
138,Formosa,AR,2022-05-11 02:40:00,-26.1775,-58.1781,62.58,88,0,3.44
