City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mildura,AU,-34.2,142.15,64.08,85,99,6.04,overcast clouds
79,Omsukchan,RU,62.5333,155.8,40.53,68,13,7.2,few clouds
80,Gaomi,CN,36.3833,119.7528,64.45,47,86,7.18,overcast clouds
81,Hami,CN,42.8,93.45,70.23,10,100,14.97,overcast clouds
82,Pevek,RU,69.7008,170.3133,30.9,84,94,10.98,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,61,75,5.75,broken clouds
84,Waingapu,ID,-9.6567,120.2641,83.71,69,99,7.0,overcast clouds
85,East London,ZA,-33.0153,27.9116,59.67,81,0,9.22,clear sky
86,Hukuntsi,BW,-24.0,21.75,57.79,31,0,9.19,clear sky
87,Hobart,AU,-42.8794,147.3294,63.27,71,75,9.22,broken clouds
88,Luau,AO,-10.7073,22.2247,62.13,70,6,4.85,clear sky
89,Ambulu,ID,-8.345,113.6058,86.61,68,15,4.68,few clouds
90,Thompson,CA,55.7435,-97.8558,48.36,57,20,11.5,few clouds
91,Selma,US,36.5708,-119.6121,66.97,33,1,10.45,clear sky
92,Guerrero Negro,MX,27.9769,-114.0611,63.1,66,6,16.33,clear sky
93,Balikpapan,ID,-1.2675,116.8289,79.79,81,100,0.83,overcast clouds
94,Mirai,BR,-21.1953,-42.6142,65.52,97,87,2.3,overcast clouds
95,Sai Buri,TH,6.7013,101.6168,87.51,63,100,2.17,overcast clouds
96,Ust-Barguzin,RU,53.45,108.9833,46.06,58,19,6.67,few clouds
97,Bambanglipuro,ID,-7.95,110.2833,86.94,71,57,7.11,broken clouds
98,Hofn,IS,64.2539,-15.2082,36.55,59,100,19.35,overcast clouds
99,Fortuna,US,40.5982,-124.1573,53.65,84,100,16.11,overcast clouds
100,Jamestown,US,42.097,-79.2353,67.64,63,0,9.22,clear sky
101,Waterbury,US,41.5582,-73.0515,64.92,87,100,4.61,mist
102,Northam,GB,51.0333,-4.2167,53.38,88,100,14.65,overcast clouds
103,Severo-Kurilsk,RU,50.6789,156.125,41.74,89,81,8.5,broken clouds
104,Nikolskoye,RU,59.7035,30.7861,48.7,86,91,13.04,overcast clouds
105,Chokurdakh,RU,70.6333,147.9167,32.86,100,98,9.66,overcast clouds
106,Inirida,CO,3.8653,-67.9239,74.26,97,94,1.63,overcast clouds
107,General Roca,AR,-39.0333,-67.5833,53.1,52,38,18.16,scattered clouds
108,Kamloops,CA,50.6665,-120.3192,52.79,85,100,9.22,overcast clouds
109,Green River,US,41.5286,-109.4662,45.99,36,98,14.16,overcast clouds
110,Ghorawal,IN,24.7667,82.7833,107.22,15,0,10.38,clear sky
111,Kirakira,SB,-10.4544,161.9205,83.32,74,42,4.03,scattered clouds
112,Porto Velho,BR,-8.7619,-63.9039,75.25,94,0,2.3,clear sky
113,Iquique,CL,-20.2208,-70.1431,62.64,79,6,2.8,clear sky
114,Sungairaya,ID,0.7,108.9,88.75,62,67,8.43,light rain
115,Hilo,US,19.7297,-155.09,74.93,79,20,11.5,few clouds
116,Sauce,UY,-34.6469,-56.0628,46.02,79,80,5.75,broken clouds
117,Avarua,CK,-21.2078,-159.775,82.45,83,75,11.5,broken clouds
118,Shush,IR,32.1942,48.2436,86.9,14,0,13.13,clear sky
119,Batagay-Alyta,RU,67.8006,130.4114,31.24,94,99,5.86,light snow
120,Mahebourg,MU,-20.4081,57.7,77.25,78,20,6.91,few clouds
121,Mataura,NZ,-46.1927,168.8643,56.48,82,100,2.15,overcast clouds
122,Sorland,NO,67.667,12.6934,42.66,86,100,16.49,light rain
123,Pisco,PE,-13.7,-76.2167,63.01,88,20,10.36,mist
124,Fort Frances,CA,48.5999,-93.4003,53.82,100,100,6.91,light rain
125,Octeville,FR,49.6261,-1.6435,50.49,93,75,9.22,broken clouds
126,Caravelas,BR,-17.7125,-39.2481,71.64,92,8,3.6,clear sky
127,Conde,BR,-7.2597,-34.9075,76.46,94,40,4.61,scattered clouds
128,Chara,RU,56.9064,118.2631,47.97,68,97,5.93,light rain
129,Berlin,DE,52.5244,13.4105,59.16,70,0,5.01,clear sky
130,Conneaut,US,41.9476,-80.5542,66.97,67,51,11.23,broken clouds
131,Neuquen,AR,-38.9516,-68.0591,44.49,87,0,2.3,clear sky
132,Saldanha,ZA,-33.0117,17.9442,53.65,89,7,6.82,clear sky
133,Xixiang,CN,35.1628,112.865,76.68,18,16,9.62,few clouds
134,Ribeira Grande,PT,38.5167,-28.7,60.75,70,85,8.19,light rain
135,Linhares,BR,-19.3911,-40.0722,69.64,94,60,4.34,broken clouds
136,Cidreira,BR,-30.1811,-50.2056,56.23,87,4,5.19,clear sky
137,Cap Malheureux,MU,-19.9842,57.6142,77.47,70,26,5.99,scattered clouds
138,Geraldton,AU,-28.7667,114.6,61.21,88,75,6.91,broken clouds
139,Cozumel,MX,20.5083,-86.9458,71.94,75,0,7.49,clear sky
140,Skegness,GB,53.1436,0.3363,52.05,86,100,18.77,overcast clouds
141,Pozo Colorado,PY,-23.4923,-58.7972,56.5,85,0,4.47,clear sky
142,Te Anau,NZ,-45.4167,167.7167,51.46,78,100,5.99,overcast clouds
143,Faanui,PF,-16.4833,-151.75,81.68,73,13,16.46,light rain
144,Fussen,DE,47.8739,12.1695,60.48,94,100,4.54,light rain
145,Baymak,RU,52.5933,58.3225,43.65,80,72,16.93,broken clouds
146,Dwarka,IN,22.2394,68.9678,86.99,66,2,17.6,clear sky
147,Mokhsogollokh,RU,61.4681,128.9203,51.46,53,100,3.09,overcast clouds
148,Poopo,BO,-18.3667,-66.9667,39.74,35,0,3.13,clear sky
149,Wisla,PL,49.6563,18.8591,59.68,90,99,3.85,overcast clouds
150,Le Port,RE,-20.9373,55.2919,77.25,57,4,3.91,clear sky
151,Bure,ET,10.7,37.0667,71.71,42,14,3.02,few clouds
152,Malangali,TZ,-8.5667,34.85,61.97,84,96,7.76,overcast clouds
153,Ingham,US,42.6,-84.3833,69.42,58,0,6.91,clear sky
154,Nusaybin,TR,37.0778,41.2178,63.99,36,0,17.27,clear sky
155,Tres Picos,MX,15.8667,-93.5333,80.89,74,57,3.13,broken clouds
156,Punta Cardon,VE,11.6581,-70.215,79.7,84,93,25.66,overcast clouds
157,Clyde River,CA,70.4692,-68.5914,14.23,73,0,14.97,clear sky
158,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,16.11,broken clouds
159,Port Alfred,ZA,-33.5906,26.891,58.01,81,3,10.27,clear sky
160,Nichinan,JP,31.6,131.3667,69.48,97,100,8.28,heavy intensity rain
161,Tuatapere,NZ,-46.1333,167.6833,53.35,78,100,5.48,light rain
162,Neubrandenburg,DE,53.5667,13.2667,50.83,82,78,6.04,broken clouds
163,Porto Novo,BJ,6.4965,2.6036,78.62,87,62,4.47,broken clouds
164,Kavieng,PG,-2.5744,150.7967,84.51,65,100,9.31,overcast clouds
165,La Ronge,CA,55.1001,-105.2842,48.45,53,0,6.91,clear sky
166,Tezu,IN,27.9167,96.1667,71.17,97,100,3.94,overcast clouds
167,Necochea,AR,-38.5473,-58.7368,50.83,76,100,13.02,overcast clouds
168,Komsomolskiy,UZ,40.4272,71.7189,72.32,49,26,4.61,scattered clouds
169,Camacha,PT,33.0833,-16.3333,62.02,82,40,6.91,scattered clouds
170,Mbuji-Mayi,CD,-6.15,23.6,71.17,74,86,2.75,overcast clouds
171,Togur,RU,58.3631,82.8265,68.81,25,85,5.28,overcast clouds
172,Esperance,AU,-33.8667,121.9,62.44,68,56,33.76,light rain
173,Qujing,CN,25.4833,103.7833,64.11,73,100,6.46,overcast clouds
174,Simao,CN,22.7886,100.9748,78.58,60,86,4.88,overcast clouds
175,Lakes Entrance,AU,-37.8811,147.981,64.17,78,36,5.93,scattered clouds
176,Kitimat,CA,54.0524,-128.6534,48.58,65,100,2.71,overcast clouds
177,Yellowknife,CA,62.456,-114.3525,45.12,61,20,9.22,few clouds
